1,200,0
2,200,100
3,200,200
4,200,300
5,200,400
6,200,500
7,200,600
8,200,700
9,200,800
10,300,0
11,300,100
12,300,200
13,300,300
14,300,400
15,300,500
16,300,600
17,300,700
18,300,800
19,400,0
20,400,100
21,400,200
22,400,300
23,400,400
24,400,500
25,400,600
26,400,700
27,400,800
28,500,0
29,500,100
30,500,200
31,500,300
32,500,400
33,500,500
34,500,600
35,500,700
36,500,800
37,600,0
38,600,100
39,600,200
40,600,300
41,600,400
42,600,500
43,600,600
44,600,700
45,600,800
46,700,0
47,700,100
48,700,200
49,700,300
50,700,400
51,700,500
52,700,600
53,700,700
54,700,800
