1,210,0,1
14,210,20,10
15,210,40,19
16,210,60,28
17,210,80,37
4,210,100,46
18,210,120,55
19,210,140,64
20,210,160,73
21,210,180,82
7,210,200,91
22,210,220,100
23,210,240,109
24,210,260,118
25,210,280,127
10,210,300,136
26,260,0,2
27,260,20,11
28,260,40,20
29,260,60,29
30,260,80,38
31,260,100,47
32,260,120,56
33,260,140,65
34,260,160,74
35,260,180,83
36,260,200,92
37,260,220,101
38,260,240,110
39,260,260,119
40,260,280,128
41,260,300,137
42,310,0,3
43,310,20,12
44,310,40,21
45,310,60,30
46,310,80,39
47,310,100,48
48,310,120,57
49,310,140,66
50,310,160,75
51,310,180,84
52,310,200,93
53,310,220,102
54,310,240,111
55,310,260,120
56,310,280,129
57,310,300,138
58,360,0,4
59,360,20,13
60,360,40,22
61,360,60,31
62,360,80,40
63,360,100,49
64,360,120,58
65,360,140,67
66,360,160,76
67,360,180,85
68,360,200,94
69,360,220,103
70,360,240,112
71,360,260,121
72,360,280,130
73,360,300,139
2,410,0,5
74,410,20,14
75,410,40,23
76,410,60,32
77,410,80,41
5,410,100,50
78,410,120,59
79,410,140,68
80,410,160,77
81,410,180,86
8,410,200,95
82,410,220,104
83,410,240,113
84,410,260,122
85,410,280,131
11,410,300,140
86,460,0,6
87,460,20,15
88,460,40,24
89,460,60,33
90,460,80,42
91,460,100,51
92,460,120,60
93,460,140,69
94,460,160,78
95,460,180,87
96,460,200,96
97,460,220,105
98,460,240,114
99,460,260,123
100,460,280,132
101,460,300,414
102,510,0,7
103,510,20,16
104,510,40,25
105,510,60,34
106,510,80,43
107,510,100,52
108,510,120,61
109,510,140,70
110,510,160,79
111,510,180,88
112,510,200,97
113,510,220,106
114,510,240,115
115,510,260,124
116,510,280,133
117,510,300,142
118,560,0,8
119,560,20,17
120,560,40,26
121,560,60,35
122,560,80,44
123,560,100,53
124,560,120,62
125,560,140,71
126,560,160,80
127,560,180,89
128,560,200,98
129,560,220,107
130,560,240,116
131,560,260,125
132,560,280,134
133,560,300,143
3,610,0,9
134,610,20,18
135,610,40,27
136,610,60,36
137,610,80,45
6,610,100,54
138,610,120,63
139,610,140,72
140,610,160,81
141,610,180,90
9,610,200,99
142,610,220,108
143,610,240,117
144,610,260,126
145,610,280,135
12,610,300,144
